"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","32",1990,34,34,3060,34,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0,"https://fbref.com/en/players/47064058/Oliver-Baumann"
2023,"Inter","Serie A","Alex Cordaz","ITA","GK","39",1983,1,0,26,0.3,0,0,2,2,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/e66ebabb/Alex-Cordaz"
2023,"Inter","Serie A","Samir Handanović","SVN","GK","38",1984,14,14,1234,13.7,18,1.31,52,35,67.3,9,0,5,4,28.6,1,1,0,0,0,"https://fbref.com/en/players/74419746/Samir-Handanovic"
2023,"Inter","Serie A","André Onana","CMR","GK","26",1996,24,24,2160,24,24,1,83,61,73.5,14,3,7,8,33.3,2,2,0,0,0,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana"
2023,"Juventus","Serie A","Mattia Perin","ITA","GK","29",1992,11,10,948,10.5,7,0.66,40,32,85,5,3,2,6,60,2,1,1,0,50,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
2023,"Juventus","Serie A","Wojciech Szczęsny","POL","GK","32",1990,28,28,2472,27.5,26,0.95,93,67,75.3,17,3,8,14,50,3,3,0,0,0,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
2023,"Köln","Bundesliga","Marvin Schwäbe","GER","GK","27",1995,34,34,3060,34,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20,"https://fbref.com/en/players/87436846/Marvin-Schwabe"
2023,"Lazio","Serie A","Luís Maximiano","POR","GK","23",1999,1,1,5,0.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2023,"Lazio","Serie A","Ivan Provedel","ITA","GK","28",1994,38,37,3413,37.9,30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1,0,"https://fbref.com/en/players/277da414/Ivan-Provedel"
2023,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","27",1995,38,38,3420,38,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone"
2023,"Leeds United","Premier League","Illan Meslier","FRA","GK","22",2000,34,34,3060,34,67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,0,"https://fbref.com/en/players/6b625ac2/Illan-Meslier"
2023,"Leeds United","Premier League","Joel Robles","ESP","GK","32",1990,4,4,360,4,11,2.75,27,16,66.7,0,1,3,0,0,3,2,0,1,0,"https://fbref.com/en/players/cda0b317/Joel-Robles"
2023,"Leicester City","Premier League","Daniel Iversen","DEN","GK","25",1997,12,12,1080,12,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0,"https://fbref.com/en/players/10d221cd/Daniel-Iversen"
2023,"Leicester City","Premier League","Danny Ward","WAL","GK","29",1993,26,26,2340,26,46,1.77,119,75,63,7,3,16,6,23.1,3,2,1,0,33.3,"https://fbref.com/en/players/d3ce0e89/Danny-Ward"
2023,"Lens","Ligue 1","Jean-Louis Leca","FRA","GK","36",1985,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
2023,"Lens","Ligue 1","Brice Samba","FRA","GK","28",1994,37,37,3330,37,28,0.76,125,98,80,24,9,4,15,40.5,3,3,0,0,0,"https://fbref.com/en/players/60d90c55/Brice-Samba"
2023,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","32",1989,33,33,2969,33,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
