"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2023,"Angers","Ligue 1","Lilian Raolisoa","FRA","DF,MF","22",2000,1.9,1,3,2,66.7,1.56,1.04,0.33,0.5,18.7,0,0,0,0.2,0.2,0.06,0.8,0.8,"https://fbref.com/en/players/79a793b7/Lilian-Raolisoa"
2023,"Angers","Ligue 1","Halid Šabanović","BIH","DF","22",1999,7.1,2,5,3,60,0.71,0.42,0.4,0.67,17.1,0,0,0,0.9,0.9,0.18,1.1,1.1,"https://fbref.com/en/players/8299e363/Halid-Sabanovic"
2023,"Angers","Ligue 1","Amine Salama","FRA","FW,MF","22",2000,13.9,3,25,11,44,1.8,0.79,0.12,0.27,15.2,1,0,0,3,3,0.12,0,0,"https://fbref.com/en/players/bc7cc472/Amine-Salama"
2023,"Angers","Ligue 1","Abdallah Sima","SEN","FW","21",2001,20.4,5,39,10,25.6,1.91,0.49,0.13,0.5,12.7,0,0,0,4.8,4.8,0.12,0.2,0.2,"https://fbref.com/en/players/fdbde523/Abdallah-Sima"
2023,"Angers","Ligue 1","Waniss Taibi","FRA","MF","20",2002,2.1,0,1,0,0,0.48,0,0,NA,6.5,0,0,0,0.3,0.3,0.31,-0.3,-0.3,"https://fbref.com/en/players/95192fe4/Waniss-Taibi"
2023,"Angers","Ligue 1","Sada Thioub","SEN","DF,FW","27",1995,11.8,1,9,1,11.1,0.76,0.08,0.11,1,14,0,0,0,1.4,1.4,0.15,-0.4,-0.4,"https://fbref.com/en/players/f4bc42b1/Sada-Thioub"
2023,"Angers","Ligue 1","Yan Valery","TUN","DF","23",1999,27.7,0,13,2,15.4,0.47,0.07,0,0,21,0,0,0,0.8,0.8,0.06,-0.8,-0.8,"https://fbref.com/en/players/531a4aa8/Yan-Valery"
2023,"Arsenal","Premier League","Gabriel Dos Santos","BRA","DF","24",1997,37.9,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0,0,0,5.1,5.1,0.16,-2.1,-2.1,"https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos"
2023,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","30",1992,1.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
2023,"Arsenal","Premier League","Rob Holding","ENG","DF","26",1995,6.3,1,5,2,40,0.8,0.32,0.2,0.5,12.8,0,0,0,0.3,0.3,0.07,0.7,0.7,"https://fbref.com/en/players/d79a8c87/Rob-Holding"
