URL,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS
https://fbref.com/en/players/1226f0de/Marius-Adamonis,0,0,38,,0.0,0.0,0.0
https://fbref.com/en/players/1237c049/Ivane-Chegra,0,5,1,0.67,1.0,5.0,-4.0
https://fbref.com/en/players/1238a3f9/Davie-Selke,1,15,2,1.08,15.0,25.0,-10.0
https://fbref.com/en/players/12421a7c/Diego-Alves,0,0,6,,0.0,0.0,0.0
https://fbref.com/en/players/1265a93a/Reece-James,12,2,0,1.44,15.0,17.0,-2.0
https://fbref.com/en/players/12806697/Isak-Hien,26,4,0,0.97,24.0,42.0,-18.0
https://fbref.com/en/players/1295552e/Mert-Muldur,0,1,6,0.0,0.0,0.0,0.0
https://fbref.com/en/players/129af0db/Alvaro-Morata,3,13,1,2.03,40.0,10.0,30.0
https://fbref.com/en/players/12c50af5/Denis-Suarez,2,7,1,0.94,16.0,23.0,-7.0
https://fbref.com/en/players/130a7a3f/Samu-Castillejo,3,8,4,0.88,14.0,15.0,-1.0
https://fbref.com/en/players/130e085a/Tristan-Crama,0,0,4,,0.0,0.0,0.0
https://fbref.com/en/players/13203c45/Jerome-Roussillon,1,9,1,2.2199999999999998,17.0,13.0,4.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,9,3,1,0.75,17.0,24.0,-7.0
https://fbref.com/en/players/132ac341/Aridane-Hernandez,19,3,12,1.17,17.0,25.0,-8.0
https://fbref.com/en/players/133faa84/Marcao,4,1,3,1.4,3.0,5.0,-2.0
https://fbref.com/en/players/13619663/Iker-Alvarez,0,0,17,,0.0,0.0,0.0
https://fbref.com/en/players/1361e5bc/Cheick-Konate,5,3,7,1.78,5.0,10.0,-5.0
https://fbref.com/en/players/139560df/Omar-El-Hilali,0,4,14,0.8,2.0,2.0,0.0
https://fbref.com/en/players/13b44b02/Petar-Stojanovic,11,11,10,1.04,14.0,28.0,-14.0
