Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,32,29,2335,25.9,2,2,4,2,0,0,7,0,22,158,34
https://fbref.com/en/players/28f66c2e/Brandon-Soppy,15,8,643,7.1,0,3,3,0,0,0,2,0,23,33,35
https://fbref.com/en/players/ac4003af/Marco-Sportiello,15,14,1339,14.9,0,0,0,0,0,0,0,0,0,2,0
https://fbref.com/en/players/c56dc39e/Rafael-Toloi,32,32,2784,30.9,2,1,3,2,0,0,8,0,21,148,29
https://fbref.com/en/players/f052fb01/Lukas-Vorlicky,3,0,24,0.3,0,0,0,0,0,0,0,0,2,3,3
https://fbref.com/en/players/d3de9af0/Duvan-Zapata,25,16,1390,15.4,2,2,4,2,0,0,1,0,35,40,140
https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta,21,18,1471,16.3,4,2,6,4,0,0,4,0,48,55,101
https://fbref.com/en/players/82598b71/Nadir-Zortea,9,1,222,2.5,1,0,1,1,0,0,1,0,11,9,13
https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,28,27,2332,25.9,1,1,2,1,0,0,7,1,32,152,8
https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,3,1,115,1.3,0,0,0,0,0,0,0,0,0,7,6
https://fbref.com/en/players/b6e50615/Yuri-Berchiche,29,27,2406,26.7,1,1,2,1,0,0,9,1,59,179,95
https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,37,26,2297,25.5,4,1,5,4,0,0,2,0,73,77,249
https://fbref.com/en/players/37f1cf47/Ander-Capa,7,1,109,1.2,0,0,0,0,0,0,1,0,5,12,7
https://fbref.com/en/players/a461f098/Malcom-Abdulai-Ares-Djalo,8,0,84,0.9,0,0,0,0,0,0,0,0,8,4,19
https://fbref.com/en/players/240d3a0b/Dani-Garcia,25,18,1485,16.5,0,2,2,0,0,0,6,0,6,73,8
https://fbref.com/en/players/b418dbd4/Raul-Garcia,35,6,967,10.7,2,3,5,2,0,0,4,0,12,38,62
https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta,30,17,1421,15.8,6,1,7,6,0,0,2,0,15,37,93
https://fbref.com/en/players/436a9dd0/Ander-Herrera,17,9,697,7.7,0,1,1,0,0,0,4,1,8,40,14
https://fbref.com/en/players/59b7d823/Inigo-Lekue,20,14,1321,14.7,0,1,1,0,0,0,1,0,42,64,59
https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,37,32,2819,31.3,1,6,7,1,0,0,7,0,76,204,153
https://fbref.com/en/players/3fc45c73/Inigo-Martinez,15,15,1338,14.9,1,0,1,1,0,0,1,0,11,60,4
https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo,10,0,76,0.8,0,1,1,0,0,0,0,0,6,2,15
https://fbref.com/en/players/c05dfb74/Iker-Muniain,30,19,1689,18.8,0,3,3,0,0,0,2,0,50,154,103
https://fbref.com/en/players/b906757a/Aitor-Paredes,16,9,859,9.5,0,0,0,0,0,0,3,0,4,33,8
https://fbref.com/en/players/bdb624a3/Oihan-Sancet,36,32,2532,28.1,10,2,12,8,2,2,6,1,91,159,156
https://fbref.com/en/players/5dcf3e90/Unai-Simon,31,31,2745,30.5,0,0,0,0,0,0,2,0,0,2,0
https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris,10,0,193,2.1,0,0,0,0,0,0,2,0,2,16,3
https://fbref.com/en/players/b0fce72c/Mikel-Vesga,36,28,2575,28.6,3,3,6,1,2,3,5,0,26,199,31
https://fbref.com/en/players/57be54ec/Asier-Villalibre,5,1,97,1.1,0,0,0,0,0,0,0,0,0,2,9
https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,29,26,2376,26.4,1,0,1,1,0,0,7,1,25,124,5
https://fbref.com/en/players/6a99e0b1/Inaki-Williams,36,34,2836,31.5,10,3,13,9,1,2,2,0,127,61,341
https://fbref.com/en/players/afdc14d7/Nico-Williams,36,32,2656,29.5,6,4,10,6,0,0,3,0,174,80,321
https://fbref.com/en/players/968a1c2f/Oier-Zarraga,26,6,852,9.5,0,0,0,0,0,0,5,0,12,37,32
https://fbref.com/en/players/45736cec/Pablo-Barrios,21,6,724,8,0,1,1,0,0,0,4,0,16,51,27
https://fbref.com/en/players/de39485a/Yannick-Carrasco,35,26,2317,25.7,7,3,10,6,1,1,2,0,146,84,264
https://fbref.com/en/players/01eb744d/Angel-Correa,35,13,1455,16.2,9,1,10,9,0,0,3,1,44,58,142
https://fbref.com/en/players/dc62b55d/Matheus-Cunha,11,2,377,4.2,0,2,2,0,0,0,2,0,6,7,19
https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,30,24,1923,21.4,2,7,9,2,0,0,5,0,55,182,68
https://fbref.com/en/players/d557d734/Matt-Doherty,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,1
https://fbref.com/en/players/51a3c4c8/Felipe,3,2,194,2.2,0,0,0,0,0,0,0,0,2,20,1
https://fbref.com/en/players/8aafd64f/Joao-Felix,14,7,650,7.2,4,3,7,4,0,0,5,0,17,27,42
https://fbref.com/en/players/f0f4671c/Antonio-Gomis,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/3f034750/Ivo-Grbic,12,10,922,10.2,0,0,0,0,0,0,3,0,0,0,0
https://fbref.com/en/players/df69b544/Antoine-Griezmann,38,31,2859,31.8,15,16,31,15,0,0,2,0,99,171,202
https://fbref.com/en/players/555f3a0b/Mario-Hermoso,26,24,2110,23.4,3,2,5,3,0,0,7,2,23,115,17
https://fbref.com/en/players/55126f3b/Koke,33,30,2545,28.3,0,3,3,0,0,0,4,0,15,175,37
https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,20,10,1006,11.2,0,2,2,0,0,0,5,0,6,42,5
https://fbref.com/en/players/4dbd0916/Thomas-Lemar,27,17,1252,13.9,1,3,4,1,0,0,1,0,36,80,79
