Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/65bf7e2b/Aaron-Zehnter,3,0,0,0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,1.11,7,14,-7
https://fbref.com/en/players/7dfbba27/Mathias-Autret,0.83,15,26,-11
https://fbref.com/en/players/5065d67d/Denys-Bain,0.5,2,3,-1
https://fbref.com/en/players/3916b09c/Quentin-Bernard,0.86,8,12,-4
https://fbref.com/en/players/c03b7266/Kenji-Van-Boto,3,5,1,4
https://fbref.com/en/players/5a6b06cd/Ousmane-Camara,0,0,0,0
https://fbref.com/en/players/c7511849/Ousoumane-Camara,NA,NA,NA,NA
https://fbref.com/en/players/18ebca4b/Gaetan-Charbonnier,0.83,3,9,-6
https://fbref.com/en/players/c4065f40/Alexandre-Coeff,0.86,6,14,-8
https://fbref.com/en/players/909222de/Nuno-da-Costa,0.85,23,32,-9
https://fbref.com/en/players/2434f24a/Benoit-Costil,0.68,16,41,-25
https://fbref.com/en/players/f1add936/Vincenzo-Cozzella,NA,NA,NA,NA
https://fbref.com/en/players/e76f6fbe/Kevin-Danois,3,0,0,0
https://fbref.com/en/players/afbb55d2/Theo-De-Percin,NA,NA,NA,NA
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,1.33,3,4,-1
